_link,_link_main,cod,desc
0.scheda.0,0,2,
1.scheda.0,1,2,
2.scheda.0,2,2,
3.scheda.0,3,2,
4.scheda.0,4,2,
5.scheda.0,5,2,
6.scheda.0,6,2,
7.scheda.0,7,2,
8.scheda.0,8,2,
9.scheda.0,9,2,
10.scheda.0,10,2,
11.scheda.0,11,2,
12.scheda.0,12,2,
13.scheda.0,13,2,
14.scheda.0,14,2,
15.scheda.0,15,2,
16.scheda.0,16,2,
17.scheda.0,17,2,
18.scheda.0,18,2,
19.scheda.0,19,2,
20.scheda.0,20,5,
21.scheda.0,21,5,
22.scheda.0,22,5,
23.scheda.0,23,5,
24.scheda.0,24,5,
25.scheda.0,25,5,
26.scheda.0,26,5,
27.scheda.0,27,5,
28.scheda.0,28,5,
29.scheda.0,29,5,
30.scheda.0,30,5,
31.scheda.0,31,5,
32.scheda.0,32,5,
33.scheda.0,33,5,
34.scheda.0,34,5,
35.scheda.0,35,5,
36.scheda.0,36,5,
37.scheda.0,37,5,
38.scheda.0,38,5,
39.scheda.0,39,5,
40.scheda.0,40,4,
41.scheda.0,41,4,
42.scheda.0,42,4,
43.scheda.0,43,4,
44.scheda.0,44,4,
45.scheda.0,45,4,
46.scheda.0,46,4,
47.scheda.0,47,4,
48.scheda.0,48,4,
49.scheda.0,49,4,
50.scheda.0,50,4,
51.scheda.0,51,4,
52.scheda.0,52,4,
53.scheda.0,53,4,
54.scheda.0,54,4,
55.scheda.0,55,4,
56.scheda.0,56,4,
57.scheda.0,57,4,
58.scheda.0,58,4,
59.scheda.0,59,4,
60.scheda.0,60,1,
61.scheda.0,61,1,
62.scheda.0,62,1,
63.scheda.0,63,1,
64.scheda.0,64,1,
65.scheda.0,65,1,
66.scheda.0,66,1,
67.scheda.0,67,1,
68.scheda.0,68,1,
69.scheda.0,69,1,
70.scheda.0,70,1,
71.scheda.0,71,1,
72.scheda.0,72,1,
73.scheda.0,73,1,
74.scheda.0,74,1,
75.scheda.0,75,1,
76.scheda.0,76,1,
77.scheda.0,77,1,
78.scheda.0,78,1,
79.scheda.0,79,1,
80.scheda.0,80,3,
81.scheda.0,81,3,
82.scheda.0,82,3,
83.scheda.0,83,3,
84.scheda.0,84,3,
85.scheda.0,85,3,
86.scheda.0,86,3,
87.scheda.0,87,3,
88.scheda.0,88,3,
89.scheda.0,89,3,
90.scheda.0,90,3,
91.scheda.0,91,3,
92.scheda.0,92,3,
93.scheda.0,93,3,
94.scheda.0,94,3,
95.scheda.0,95,3,
96.scheda.0,96,3,
97.scheda.0,97,3,
98.scheda.0,98,3,
99.scheda.0,99,3,
